PSD_Area,Morphology,GluA2_Area,#_Cluster,timepoint,condition,GluA2_Area_per_cluster,PSD_Area_per_cluster
0.306,0,0.238,1,0,Control,0.238,0.306
0.376,0,0.154,2,0,Control,0.077,0.188
0.128,0,0.019,2,0,Control,0.0095,0.064
0.102,0,0.063,1,0,Control,0.063,0.102
0.068,0,0.051,2,0,Control,0.0255,0.034
0.105,0,0.049,2,0,Control,0.0245,0.0525
0.081,0,0.02,1,0,Control,0.02,0.081
0.071,0,0.018,1,0,Control,0.018,0.071
0.067,0,0.018,1,0,Control,0.018,0.067
0.06,0,0.03,1,0,Control,0.03,0.06
0.157,0,0.095,1,0,Control,0.095,0.157
0.121,0,0.033,2,0,Control,0.0165,0.0605
0.068,0,0.065,1,0,Control,0.065,0.068
0.119,0,0.021,2,0,Control,0.0105,0.0595
0.078,0,0.101,1,0,Control,0.101,0.078
0.099,0,0.094,1,0,Control,0.094,0.099
0.124,0,0.104,1,0,Control,0.104,0.124
0.204,0,0.118,1,0,Control,0.118,0.204
0.188,0,0.064,1,0,Control,0.064,0.188
0.214,0,0.147,1,0,Control,0.147,0.214
0.16,0,0.053,1,0,Control,0.053,0.16
0.202,0,0.006,1,0,Control,0.006,0.202
0.102,0,0.032,1,0,Control,0.032,0.102
0.18,0,0.133,1,0,Control,0.133,0.18
0.06,0,0.125,1,0,Control,0.125,0.06
0.099,0,0.009,1,0,Control,0.009,0.099
0.168,0,0.102,1,0,Control,0.102,0.168
0.048,0,0.034,1,0,Control,0.034,0.048
0.11,0,0.027,1,0,Control,0.027,0.11
0.096,0,0.096,1,0,Control,0.096,0.096
0.163,1,0.047,2,0,Control,0.0235,0.0815
0.136,0,0.025,1,0,Control,0.025,0.136
0.319,0,0.037,2,0,Control,0.0185,0.1595
0.356,0,0.091,3,0,Control,0.030333333333333334,0.11866666666666666
0.201,0,0.0139999999999999,2,0,Control,0.00699999999999995,0.1005
0.291,1,0.086,1,0,Control,0.086,0.291
0.342,0,0.15,1,0,Control,0.15,0.342
0.216,0,0.08,1,0,Control,0.08,0.216
0.203,0,0.028,1,0,Control,0.028,0.203
0.23,0,0.034,1,0,Control,0.034,0.23
0.218,0,0.008,1,0,Control,0.008,0.218
0.238,0,0.069,3,0,Control,0.023000000000000003,0.07933333333333333
0.206,0,0.003,1,0,Control,0.003,0.206
0.561,3,0.054,2,0,Control,0.027,0.2805
0.511,2,0.123,3,0,Control,0.041,0.17033333333333334
0.382,0,0.009,1,0,Control,0.009,0.382
0.302,0,0.107,1,0,Control,0.107,0.302
0.118,0,0.027,2,0,Control,0.0135,0.059
0.2,0,0.021,1,0,Control,0.021,0.2
0.17,0,0.016,1,0,Control,0.016,0.17
0.155,0,0.076,1,0,Control,0.076,0.155
0.167,0,0.004,1,0,Control,0.004,0.167
0.191,0,0.005,2,0,Control,0.0025,0.0955
0.18,0,0.038,1,0,Control,0.038,0.18
0.243,1,0.008,2,0,Control,0.004,0.1215
0.157,0,0.003,1,0,Control,0.003,0.157
0.174,0,0.066,1,0,Control,0.066,0.174
0.08,0,0.043,1,0,Control,0.043,0.08
0.194,0,0.014,1,0,Control,0.014,0.194
0.555,0,0.137,2,0,Control,0.0685,0.2775
0.323,0,0.029,1,0,Control,0.029,0.323
0.61,1,0.177,3,0,Control,0.059,0.20333333333333334
0.151,0,0.002,1,0,Control,0.002,0.151
0.128,0,0.053,1,0,Control,0.053,0.128
0.238,0,0.002,1,0,Control,0.002,0.238
0.211,0,0.023,1,0,Control,0.023,0.211
0.233,0,0.003,1,0,Control,0.003,0.233
0.178,0,0.046,1,0,Control,0.046,0.178
